Unsolved_States
Rhode Island
Arkansas
North Dakota
South Carolina
Tennessee
Utah
Kansas
Wisconsin
Missouri
Montana
Oregon
Indiana
Massachusetts
Iowa
Virginia
Delaware
Connecticut
Illinois
Minnesota
Vermont
Nebraska
Alabama
Colorado
West Virginia
Kentucky
North Carolina
Wyoming
Pennsylvania
Idaho
Louisiana
Mississippi
New Hampshire
Michigan
South Dakota
